reading_date_time,temperature_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,town_name
2022-11-01 00:00:00,11.9,2.5,2.5,21.0,85.1,Carlisle
2022-11-01 01:00:00,11.6,0.9,0.9,17.9,79.6,Carlisle
2022-11-01 02:00:00,11.6,0.5,0.5,10.2,81.9,Carlisle
2022-11-01 03:00:00,11.4,0.1,0.1,1.0,315.0,Carlisle
2022-11-01 04:00:00,11.1,0.8,0.8,6.0,287.4,Carlisle
2022-11-01 05:00:00,10.9,1.8,1.8,6.7,254.5,Carlisle
2022-11-01 06:00:00,10.9,0.6,0.6,11.4,235.3,Carlisle
2022-11-01 07:00:00,11.0,0.2,0.2,17.6,241.9,Carlisle
2022-11-01 08:00:00,11.2,0.0,0.0,24.2,239.6,Carlisle
2022-11-01 09:00:00,10.9,0.0,0.0,18.8,223.5,Carlisle
2022-11-01 10:00:00,11.8,0.0,0.0,19.1,225.8,Carlisle
2022-11-01 11:00:00,12.0,0.1,0.1,24.6,235.1,Carlisle
2022-11-01 12:00:00,11.7,0.0,0.0,24.2,239.6,Carlisle
2022-11-01 13:00:00,11.9,0.0,0.0,26.9,237.6,Carlisle
2022-11-01 14:00:00,11.0,0.0,0.0,21.1,233.3,Carlisle
2022-11-01 15:00:00,11.4,0.0,0.0,17.3,226.7,Carlisle
2022-11-01 16:00:00,10.7,0.0,0.0,15.2,202.3,Carlisle
2022-11-01 17:00:00,9.6,0.0,0.0,12.5,191.6,Carlisle
2022-11-01 18:00:00,8.4,0.0,0.0,10.5,172.1,Carlisle
2022-11-01 19:00:00,7.6,0.0,0.0,10.6,162.2,Carlisle
2022-11-01 20:00:00,8.1,0.0,0.0,10.4,178.0,Carlisle
2022-11-01 21:00:00,8.1,0.0,0.0,10.5,206.6,Carlisle
2022-11-01 22:00:00,8.4,0.1,0.1,12.5,221.5,Carlisle
2022-11-01 23:00:00,8.4,0.2,0.2,11.8,220.0,Carlisle
2022-11-02 00:00:00,8.5,0.4,0.4,9.7,222.0,Carlisle
2022-11-02 01:00:00,8.7,0.3,0.3,18.2,230.6,Carlisle
2022-11-02 02:00:00,8.2,0.0,0.0,23.0,241.0,Carlisle
2022-11-02 03:00:00,8.0,0.0,0.0,18.5,240.9,Carlisle
2022-11-02 04:00:00,7.9,0.0,0.0,17.1,231.0,Carlisle
2022-11-02 05:00:00,7.6,0.0,0.0,15.4,217.4,Carlisle
2022-11-02 06:00:00,7.4,0.0,0.0,13.3,198.9,Carlisle
2022-11-02 07:00:00,6.8,0.0,0.0,12.3,175.0,Carlisle
2022-11-02 08:00:00,7.0,0.0,0.0,15.6,154.0,Carlisle
2022-11-02 09:00:00,9.0,0.1,0.1,20.4,170.9,Carlisle
2022-11-02 10:00:00,9.6,0.3,0.3,24.5,169.8,Carlisle
2022-11-02 11:00:00,10.0,0.3,0.3,27.0,161.3,Carlisle
2022-11-02 12:00:00,10.0,0.2,0.2,30.8,159.4,Carlisle
2022-11-02 13:00:00,10.8,1.2,1.2,36.2,166.8,Carlisle
2022-11-02 14:00:00,11.2,2.2,2.2,35.8,174.2,Carlisle
2022-11-02 15:00:00,11.4,2.1,2.1,41.5,175.5,Carlisle
2022-11-02 16:00:00,11.3,0.3,0.3,34.9,180.0,Carlisle
2022-11-02 17:00:00,11.7,0.0,0.0,33.1,179.4,Carlisle
2022-11-02 18:00:00,12.1,0.0,0.0,33.6,184.9,Carlisle
2022-11-02 19:00:00,11.5,0.0,0.0,35.2,193.6,Carlisle
2022-11-02 20:00:00,11.0,0.0,0.0,28.4,195.4,Carlisle
2022-11-02 21:00:00,10.2,0.1,0.1,31.4,206.6,Carlisle
2022-11-02 22:00:00,10.1,1.5,1.5,31.1,223.1,Carlisle
2022-11-02 23:00:00,9.9,0.1,0.1,28.0,242.4,Carlisle
2022-11-03 00:00:00,10.0,0.1,0.1,26.1,234.6,Carlisle
2022-11-03 01:00:00,9.9,0.0,0.0,21.6,240.0,Carlisle
2022-11-03 02:00:00,8.8,0.9,0.9,19.8,233.1,Carlisle
2022-11-03 03:00:00,8.2,0.0,0.0,13.4,207.3,Carlisle
2022-11-03 04:00:00,7.5,0.2,0.2,11.7,188.9,Carlisle
2022-11-03 05:00:00,7.6,0.2,0.2,11.4,192.7,Carlisle
2022-11-03 06:00:00,7.3,0.0,0.0,10.8,195.4,Carlisle
2022-11-03 07:00:00,6.6,0.0,0.0,11.2,185.5,Carlisle
2022-11-03 08:00:00,6.7,0.0,0.0,12.4,170.0,Carlisle
2022-11-03 09:00:00,7.7,0.0,0.0,12.9,162.1,Carlisle
2022-11-03 10:00:00,9.1,0.0,0.0,10.7,147.4,Carlisle
2022-11-03 11:00:00,10.2,0.0,0.0,10.1,145.2,Carlisle
2022-11-03 12:00:00,10.5,0.1,0.1,4.4,215.0,Carlisle
2022-11-03 13:00:00,10.3,1.0,1.0,3.4,108.4,Carlisle
2022-11-03 14:00:00,9.5,1.7,1.7,7.2,153.4,Carlisle
2022-11-03 15:00:00,9.2,0.0,0.0,3.2,153.4,Carlisle
2022-11-03 16:00:00,7.6,0.0,0.0,5.2,123.7,Carlisle
2022-11-03 17:00:00,6.5,0.0,0.0,5.9,104.0,Carlisle
2022-11-03 18:00:00,5.0,0.0,0.0,5.8,86.4,Carlisle
2022-11-03 19:00:00,6.3,0.0,0.0,4.3,90.0,Carlisle
2022-11-03 20:00:00,6.5,0.0,0.0,4.3,65.6,Carlisle
2022-11-03 21:00:00,6.1,0.0,0.0,2.2,360.0,Carlisle
2022-11-03 22:00:00,5.6,0.0,0.0,1.6,243.4,Carlisle
2022-11-03 23:00:00,2.2,0.0,0.0,6.8,251.6,Carlisle
2022-11-04 00:00:00,3.1,0.0,0.0,6.2,263.3,Carlisle
2022-11-04 01:00:00,2.1,0.0,0.0,4.9,197.1,Carlisle
2022-11-04 02:00:00,1.9,0.0,0.0,4.6,198.4,Carlisle
2022-11-04 03:00:00,2.0,0.0,0.0,5.6,225.0,Carlisle
2022-11-04 04:00:00,2.6,0.0,0.0,5.1,265.9,Carlisle
2022-11-04 05:00:00,3.1,0.0,0.0,5.8,262.9,Carlisle
2022-11-04 06:00:00,3.3,0.0,0.0,4.6,251.6,Carlisle
2022-11-04 07:00:00,3.9,0.0,0.0,7.1,255.3,Carlisle
2022-11-04 08:00:00,4.5,0.0,0.0,6.2,263.3,Carlisle
2022-11-04 09:00:00,5.5,0.0,0.0,6.8,244.8,Carlisle
2022-11-04 10:00:00,7.3,0.0,0.0,7.7,242.2,Carlisle
2022-11-04 11:00:00,9.2,0.0,0.0,10.2,251.6,Carlisle
2022-11-04 12:00:00,10.1,0.0,0.0,18.4,258.7,Carlisle
2022-11-04 13:00:00,10.2,0.0,0.0,20.6,264.0,Carlisle
2022-11-04 14:00:00,10.3,0.1,0.1,19.4,270.0,Carlisle
2022-11-04 15:00:00,10.1,0.0,0.0,16.7,262.6,Carlisle
2022-11-04 16:00:00,9.3,0.0,0.0,15.9,256.9,Carlisle
2022-11-04 17:00:00,8.6,0.0,0.0,13.7,251.6,Carlisle
2022-11-04 18:00:00,8.4,0.0,0.0,13.8,254.9,Carlisle
2022-11-04 19:00:00,7.9,0.0,0.0,9.9,250.9,Carlisle
2022-11-04 20:00:00,7.6,0.0,0.0,9.1,236.3,Carlisle
2022-11-04 21:00:00,7.5,0.0,0.0,8.4,230.2,Carlisle
2022-11-04 22:00:00,7.7,0.1,0.1,8.5,233.6,Carlisle
2022-11-04 23:00:00,8.0,0.0,0.0,6.9,218.7,Carlisle
2022-11-05 00:00:00,8.1,0.0,0.0,9.9,199.1,Carlisle
2022-11-05 01:00:00,8.1,0.0,0.0,10.8,195.4,Carlisle
2022-11-05 02:00:00,7.8,0.0,0.0,10.5,187.9,Carlisle
